NDCG, ranking_relatedness18.csv, ranking_relative_relatedness18.csv, ranking_relativeness18.csv, ranking_time_relatedness18.csv, ranking_time_relative_relatedness18.csv, ranking_time_relativeness18.csv, ranking_timeliness18.csv
@5, 0.5254743443638904, 0.5955405218063604, 0.4320178252675665, 0.30483177442897513, 0.4946185466287264, 0.4946185466287264, 0.165847374596153
@10, 0.6996430464010941, 0.5821522968963819, 0.4183549058420964, 0.5052779634549044, 0.5020389601292555, 0.4589742454726286, 0.4432872938858042
@20, 0.8246400273347759, 0.7532088060582104, 0.6209222436473136, 0.7422167022976762, 0.6570675869035643, 0.6272793941980986, 0.6268531645737376
end, 0.8737211785783763, 0.8472963518279216, 0.803002113376804, 0.8009079038626914, 0.8187408876033135, 0.8082734136772203, 0.7599598230850756

