NDCG, ranking_relatedness13.csv, ranking_relative_relatedness13.csv, ranking_relativeness13.csv, ranking_time_relatedness13.csv, ranking_time_relative_relatedness13.csv, ranking_time_relativeness13.csv, ranking_timeliness13.csv
@5, 0.2441130635259225, 0.42430560799905437, 0.42430560799905437, 0.5245568537790114, 0.44037356461098065, 0.44037356461098065, 0.366649506360404
@10, 0.35422561954589254, 0.3763900909685521, 0.3763900909685521, 0.6332855764120526, 0.39008021618937017, 0.39008021618937017, 0.4236662965056411
@20, 0.5929772110812749, 0.6303318136312527, 0.5568089141076774, 0.7881384090653129, 0.572899906756341, 0.5700026108898538, 0.5029262165183283
end, 0.6957084358176006, 0.7224608961004718, 0.7173311835552962, 0.8120098918418747, 0.7332342644503986, 0.728775521963957, 0.7045187442552082

