NDCG, ranking_relatedness14.csv, ranking_relative_relatedness14.csv, ranking_relativeness14.csv, ranking_time_relatedness14.csv, ranking_time_relative_relatedness14.csv, ranking_time_relativeness14.csv, ranking_timeliness14.csv
@5, 0.3539972084792198, 0.43270429923834913, 0.4305809746197256, 0.46806813962325183, 0.4496121869473197, 0.4308686044455566, 0.28841157150325736
@10, 0.5245810842969624, 0.5199060407428381, 0.5241734282521577, 0.47260066998941097, 0.5295289426116137, 0.5929846227995695, 0.24421892710189907
@20, 0.6120408736641386, 0.687105255032343, 0.6463940935200309, 0.6201171682572459, 0.7073173978577145, 0.6875707475648948, 0.3778591588802076
end, 0.7916194544642994, 0.8094620852878026, 0.8055156192566012, 0.7954364725668179, 0.8174714045837631, 0.8143677241746298, 0.698174237964276

