NDCG, ranking_relatedness15.csv, ranking_relative_relatedness15.csv, ranking_relativeness15.csv, ranking_time_relatedness15.csv, ranking_time_relative_relatedness15.csv, ranking_time_relativeness15.csv, ranking_timeliness15.csv
@5, 0.249301047805518, 0.7411995450662471, 0.7146944097334741, 0.249301047805518, 0.7411995450662471, 0.7146944097334741, 0.034257390455878764
@10, 0.3169905048787023, 0.7174319902872092, 0.7164125383932394, 0.3169905048787023, 0.7174319902872092, 0.7164125383932394, 0.049622267770639016
@20, 0.4828732389150736, 0.8002582199686309, 0.7987615392199122, 0.4828732389150736, 0.8002582199686309, 0.7987615392199122, 0.3335497551526866
end, 0.621323268942996, 0.8615590259022284, 0.8600879538980717, 0.621323268942996, 0.8615590259022284, 0.8600879538980717, 0.5184514025125188

