NDCG, ranking_relatedness17.csv, ranking_relative_relatedness17.csv, ranking_relativeness17.csv, ranking_time_relatedness17.csv, ranking_time_relative_relatedness17.csv, ranking_time_relativeness17.csv, ranking_timeliness17.csv
@5, 0.6107625698863265, 0.9594744597695196, 0.9457019255307257, 0.5084888971670852, 0.9457019255307257, 0.9457019255307257, 0.15790734741860743
@10, 0.708946903523753, 0.9283430510249172, 0.9110501165960289, 0.5925434208107481, 0.9110501165960289, 0.9093251358450907, 0.37081829464066285
@20, 0.8220426934304276, 0.9729223856827415, 0.9561728393001723, 0.7679153571706872, 0.9225744524049513, 0.9213390398487513, 0.5492676564082358
end, 0.842094855576436, 0.9712104160212574, 0.955719039982476, 0.7936045609128447, 0.9542409780638236, 0.9529469578556699, 0.6605926204777224

