NDCG, ranking_relatedness3.csv, ranking_relative_relatedness3.csv, ranking_relativeness3.csv, ranking_time_relatedness3.csv, ranking_time_relative_relatedness3.csv, ranking_time_relativeness3.csv, ranking_timeliness3.csv
@5, 0.24416382740447654, 0.5669308506056829, 0.5669308506056829, 0.0, 0.5669308506056829, 0.5669308506056829, 0.0
@10, 0.4331407776063709, 0.5669308506056829, 0.5669308506056829, 0.023411395409226307, 0.5669308506056829, 0.5669308506056829, 0.0
@20, 0.4550273985714552, 0.7311071478297633, 0.7277293597564048, 0.29421739581201795, 0.7206389564795651, 0.5863532914138712, 0.02127201775854618
end, 0.6179247030327902, 0.7574951073730524, 0.7535466737710157, 0.43130685916408223, 0.7431976474588319, 0.7315009865125004, 0.3973186189088683

