NDCG, ranking_relatedness2.csv, ranking_relative_relatedness2.csv, ranking_relativeness2.csv, ranking_time_relatedness2.csv, ranking_time_relative_relatedness2.csv, ranking_time_relativeness2.csv, ranking_timeliness2.csv
@5, 0.07729746629855838, 0.9835230984902238, 0.9899048708410192, 0.47888806401700407, 0.932705484760764, 0.9618670759464966, 0.3276530502330128
@10, 0.4122133707393948, 0.9406275839332701, 0.9465742048539428, 0.4666582949009434, 0.8932750510738672, 0.9204482121791153, 0.3053114990845766
@20, 0.42881217851105174, 0.9589624346925166, 0.9643941904777256, 0.6443568097793253, 0.9116099018331137, 0.938268197802898, 0.4666957821209117
end, 0.6029589421452676, 0.9738860050549618, 0.9791660635270443, 0.7375989290654402, 0.9408621011357148, 0.9610065182326205, 0.6075903116634819

