NDCG, ranking_relatedness10.csv, ranking_relative_relatedness10.csv, ranking_relativeness10.csv, ranking_time_relatedness10.csv, ranking_time_relative_relatedness10.csv, ranking_time_relativeness10.csv, ranking_timeliness10.csv
@5, 0.0778490169837809, 0.0778490169837809, 0.7293749425027428, 0.0778490169837809, 0.0778490169837809, 0.7293749425027428, 0.0778490169837809
@10, 0.11803075700095876, 0.11803075700095876, 0.6718514594828203, 0.11803075700095876, 0.11803075700095876, 0.6718514594828203, 0.17785509554832724
@20, 0.3250888358885136, 0.3250888358885136, 0.7188574750053736, 0.3250888358885136, 0.3250888358885136, 0.7188574750053736, 0.34322419203532567
end, 0.5656316333411625, 0.5656316333411625, 0.8503584748798707, 0.5656316333411625, 0.5656316333411625, 0.8503584748798707, 0.5883486492455882

