NDCG, ranking_relatedness8.csv, ranking_relative_relatedness8.csv, ranking_relativeness8.csv, ranking_time_relatedness8.csv, ranking_time_relative_relatedness8.csv, ranking_time_relativeness8.csv, ranking_timeliness8.csv
@5, 0.20686717997149065, 0.36743249579013504, 0.34550391000472563, 0.20686717997149065, 0.36743249579013504, 0.34550391000472563, 0.39059657878464965
@10, 0.22425804778057157, 0.3301941619096753, 0.34857123815729846, 0.22425804778057157, 0.3301941619096753, 0.34857123815729846, 0.3485961815066472
@20, 0.25338610378048804, 0.44796969872706965, 0.45240275333806773, 0.28920322687207434, 0.44796969872706965, 0.45240275333806773, 0.38830546024105544
end, 0.7227108397379596, 0.7722471991707606, 0.7706856957376679, 0.7270208767298355, 0.7738186388281307, 0.7716268738807436, 0.7611263554599084

