NDCG, ranking_relatedness14.csv, ranking_relative_relatedness14.csv, ranking_relativeness14.csv, ranking_time_relatedness14.csv, ranking_time_relative_relatedness14.csv, ranking_time_relativeness14.csv, ranking_timeliness14.csv
@5, 0.2377001155859467, 0.4550568811135336, 0.4550568811135336, 0.24793502335598688, 0.5412521487608051, 0.5412521487608051, 0.2641253087797426
@10, 0.4088218202493411, 0.6112448902112627, 0.48174787365571975, 0.46738583720984206, 0.6695471088007376, 0.5466772153473707, 0.27610267026683033
@20, 0.6306250110270228, 0.695154287624995, 0.6788967200205697, 0.6399627472695381, 0.7498531292264393, 0.740309228128629, 0.5186768487137194
end, 0.739909539250709, 0.8142257296295623, 0.7966463083974494, 0.7485241677034309, 0.8330727241590828, 0.8225403232505092, 0.7084528762341278

