NDCG, ranking_relatedness6.csv, ranking_relative_relatedness6.csv, ranking_relativeness6.csv, ranking_time_relatedness6.csv, ranking_time_relative_relatedness6.csv, ranking_time_relativeness6.csv, ranking_timeliness6.csv
@5, 0.049262435413878376, 0.8988344109462019, 0.8988344109462019, 0.4895623155171509, 0.8988344109462019, 0.8988344109462019, 0.44511472586816686
@10, 0.4535824989222345, 0.8843725078235243, 0.8843725078235243, 0.5941804472842819, 0.8835523625838544, 0.8835523625838544, 0.6777370335253816
@20, 0.4672079005594564, 0.8989152500763042, 0.8979979094607462, 0.6240772845283149, 0.8977565883192904, 0.8966985560637867, 0.7356520264250214
end, 0.6290567084158656, 0.9442803754855805, 0.9431913127101089, 0.7616592041899884, 0.9429880306137516, 0.9417206400522143, 0.7850173049150347

