NDCG, ranking_relatedness13.csv, ranking_relative_relatedness13.csv, ranking_relativeness13.csv, ranking_time_relatedness13.csv, ranking_time_relative_relatedness13.csv, ranking_time_relativeness13.csv, ranking_timeliness13.csv
@5, 0.41174442233879216, 0.3001806199740869, 0.3173575925123625, 0.4063150946556678, 0.3001806199740869, 0.3173575925123625, 0.13152248326683885
@10, 0.5082938400120469, 0.4419721559803617, 0.448121750973106, 0.5406090159070867, 0.42223772603773185, 0.4309748933142893, 0.34455717984901113
@20, 0.6856684869083268, 0.5127543508494103, 0.4987202460004888, 0.6526503540313857, 0.49691254266308, 0.5043480983089631, 0.527288589952234
end, 0.782747270797735, 0.7241578940506326, 0.72769135097332, 0.7921522470015532, 0.7303877495290534, 0.7347554567427466, 0.7051217258153115

