NDCG, ranking_relatedness4.csv, ranking_relative_relatedness4.csv, ranking_relativeness4.csv, ranking_time_relatedness4.csv, ranking_time_relative_relatedness4.csv, ranking_time_relativeness4.csv, ranking_timeliness4.csv
@5, 0.183324753180202, 0.183324753180202, 0.9488624617780659, 0.183324753180202, 0.183324753180202, 0.9908183105074706, 0.21637190785092575
@10, 0.18854062924988144, 0.18854062924988144, 0.9163905438677831, 0.18854062924988144, 0.18854062924988144, 0.9589938256136877, 0.4265091777939565
@20, 0.426835923967517, 0.426835923967517, 0.9398365896138272, 0.426835923967517, 0.426835923967517, 0.9709266891093645, 0.5617800038662983
end, 0.6053944884720907, 0.6053944884720907, 0.9506404346938542, 0.6053944884720907, 0.6053944884720907, 0.9819510932560238, 0.678910195166578

