NDCG, ranking_relatedness1.csv, ranking_relative_relatedness1.csv, ranking_relativeness1.csv, ranking_time_relatedness1.csv, ranking_time_relative_relatedness1.csv, ranking_time_relativeness1.csv, ranking_timeliness1.csv
@5, 0.27727342735504823, 0.3007851801491499, 0.6608397947263839, 0.27021701223981687, 0.4912596920895758, 0.6608397947263839, 0.7414701551467149
@10, 0.3926133471263419, 0.48674494951300534, 0.7162874455029681, 0.4696314417129263, 0.5397090940640433, 0.7253761295313897, 0.7159300101737743
@20, 0.5788156529826972, 0.6186846524368389, 0.7559527861045331, 0.600886768158357, 0.6717807459542823, 0.7580598776211813, 0.7015487490335258
end, 0.8664647031242628, 0.8825520851685544, 0.926421067980928, 0.8731780920679979, 0.8986800368599923, 0.9270061097698523, 0.9030760383300235

