Entity; Entity_Count
Lot_%28biblical_person%29; 152
Customer; 152
Tennessee; 151
Popular_%28TV_series%29; 151
Fun_%28band%29; 151
30_%28number%29; 151
Safe; 150
George_Michael; 150
Stories_%28band%29; 149
Oregon; 149
New_Year%27s_Eve; 149
Mother; 149
Miami; 149
Low_%28band%29; 149
Buffalo_Bills; 149
Vladimir_Putin; 148
Set_%28mathematics%29; 148
Goal; 148
Comet; 148
Wrestling; 147
Virginia; 147
Tucson%2C_Arizona; 147
News_satire; 147
Neighbors_%282014_film%29; 147
Indiana; 147
Image; 147
Hans-Dieter_Sues; 147
Construction; 147
14_%28number%29; 147
Issues_%28band%29; 146
Capital_punishment; 146
Assault; 146
Indictment; 145
Fifty_Shades_of_Grey; 145
Delays; 145
16_%28number%29; 145
Recipe; 144
Nonprofit_organization; 144
Quarterback; 143
100_%28number%29; 143
Vehicle; 142
Flight_%282012_film%29; 142
Expert; 142
Water; 141
Volleyball; 141
Success_%28magazine%29; 141
Percentage; 141
Email; 141
Colorado; 141
60_%28number%29; 141
Target_Corporation; 139
Boulder%2C_Colorado; 139
Patience; 138
Campus; 138
Oakland_firestorm_of_1991; 137
Details_%28magazine%29; 137
DC_Challenge; 137
Cabinet_of_the_United_States; 137
Medical_state; 136
Board_of_education; 136
Youth; 135
Seattle_Seahawks; 135
Forward_%28association_football%29; 135
Badger; 135
Sales; 134
Racism; 134
Idea; 134
Decision-making; 134
Central_Intelligence_Agency; 134
September_11_attacks; 133
San_Francisco_Bay_Area; 133
Race_%28human_categorization%29; 133
Lights_%28musician%29; 133
Hours_%282013_film%29; 133
Hawaii; 133
White_House; 132
Standing_Rock_Indian_Reservation; 132
Top_40; 131
The_Salvation_Army; 131
Safety; 131
Chicago; 131
Idaho; 130
Save_%28baseball%29; 129
Proposal_%28business%29; 129
Festival; 129
Contract; 129
Supporter; 128
Property; 128
Paul_the_Apostle; 128
National_Basketball_Association; 128
Hanukkah; 128
Santa_Claus_parade; 127
Potential; 127
Closure_%28computer_programming%29; 127
Bear; 127
Applied_Digital_Data_Systems; 127
The_Gunman_%28film%29; 126
Pound_%28mass%29; 126
Last_Night_%282010_film%29; 126
Friends; 126
Christmas_market; 126
Bowl; 126
Availability; 125
Shopping_mall; 124
Sandy_Hook_Elementary_School_shooting; 124
Political_campaign; 124
ConocoPhillips; 124
Ceo_%28musician%29; 124
Candidate; 124
Wyoming; 123
Star_Wars; 123
Sexual_assault; 123
Received_Pronunciation; 123
Funding; 123
Fidel_Castro; 123
Auburn_University; 123
Politics; 122
Plea; 122
Crime; 122
Ceremony; 122
Americans; 122
Address_%28geography%29; 122
United_States_Environmental_Protection_Agency; 121
Stolen_%282012_film%29; 121
Selling; 121
Benefit_%28album%29; 121
Schedule; 120
Boost_Mobile; 120
25_%28number%29; 120
TOPS_Club; 118
North_Carolina; 118
Nation; 118
Kansas_City_Chiefs; 118
Hillary_Clinton; 118
Controversy; 118
Connecticut; 118
Baltimore; 118
Rogue_One%3A_A_Star_Wars_Story; 117
Raise%21; 117
Policy; 117
Pennsylvania_State_University; 117
Vow; 116
Running; 116
Podcast; 116
Mahtab_Keramati; 116
Ice_hockey; 116
Chief_of_police; 116
Share_%28finance%29; 115
Housing; 115
Federal_Reserve_System; 115
Eye; 115
Device_driver; 115
.se; 115
Retail; 114
Opioid; 114
Omaha%2C_Nebraska; 114
Home_Fires_%28Canadian_TV_series%29; 114
Good-morning; 114
Felony; 114
Serve_%28tennis%29; 113
San_Bernardino%2C_California; 113
Product_recall; 113
Photography; 113
Louisiana; 113
Fear; 113
Taken_%28film%29; 112
Light-emitting_diode; 112
Hand; 112
Father; 112
Emergency_evacuation; 112
Display_device; 112
Dallas; 112
S%C3%A9es; 111
Richmond%2C_Virginia; 111
Legacy.com; 111
Hotel; 111
Overnight; 110
Issue_%28legal%29; 110
Fraud; 110
Alan_Thicke; 110
Underway; 109
Pardon; 109
Missouri; 109
Learning; 109
Illinois; 109
Happiness; 109
Focus_%282015_film%29; 109
Wreath; 108
Put_option; 108
Parade; 108
Find; 108
Digital_Equipment_Corporation; 108
Superintendent_%28police%29; 107
Savannah%2C_Georgia; 107
New_York_City; 107
Lastminute.com; 107
Fire; 107
Columnist; 107
Boise%2C_Idaho; 107
Wild_%28film%29; 106
Resident; 106
Rape; 106
Police_commissioner; 106
Philadelphia; 106
Memory; 106
Complaint; 106
Beer; 106
YouTube; 105
Town; 105
Topeka%2C_Kansas; 105
The_Drop_%28film%29; 105
Poverty; 105
Play_%28theatre%29; 105
Planning; 105
Major; 105
Decade; 105
Arizona%27s_Instrument_to_Measure_Standards; 105
Nashville%2C_Tennessee; 104
Worry; 103
Strike_action; 103
Saint; 103
Firefighter_%28film%29; 103
Austin%2C_Texas; 103
40_%28number%29; 103
Push_%282009_film%29; 102
Performance; 102
History; 102
Winona%2C_Minnesota; 101
Stole_%28vestment%29; 101
Spread_%28film%29; 101
Need_to_know; 101
Louisville%2C_Kentucky; 101
Grant_%28money%29; 101
Gopher; 101
Charleston_church_shooting; 101
Rural_area; 100
Hosts_%28file%29; 100
Enjoy%21_%28Descendents_album%29; 100
Choice; 100
Beats_Electronics; 100
Adoption; 100
53_%28number%29; 100
Weather; 99
Taps; 99
Rescue; 99
Redlands%2C_California; 99
Michelle_Obama; 99
Message; 99
Ice; 99
Peoria%2C_Illinois; 98
Muhammad_Ali; 98
Duluth%2C_Minnesota; 98
Dilation_and_curettage; 98
Ceremonial_ship_launching; 98
Bond_%28finance%29; 98
Activism; 98
200; 98
United_Kingdom; 97
Regions_of_France; 97
Expansi%C3%B3n_%28Spain%29; 97
Dolly_Parton; 97
Swimming_%28sport%29; 96
Shoppers_Drug_Mart; 96
Portland%2C_Oregon; 96
Michigan; 96
Graduation; 96
Georgia_%28U.S._state%29; 96
Electric_current; 96
Caught; 96
17_%28number%29; 96
Tweet_%28singer%29; 95
The_State_%28TV_series%29; 95
Methamphetamine; 95
Bridge; 95
Birthday; 95
.su; 95
Springfield%2C_Illinois; 94
OK; 94
Inch; 94
Crowd; 94
B-Real; 94
University_of_Washington; 93
Resignation; 93
Plane_%28geometry%29; 93
OpenEd; 93
Film; 93
Delay_%28audio_effect%29; 93
Commentary_%28magazine%29; 93
Art; 93
35_%28number%29; 93
Zsa_Zsa_Gabor; 92
Tournament_%28medieval%29; 92
Toddler; 92
Suspended; 92
Prisoner; 92
Grammy_Award; 92
Family_law; 92
Dangerous_%28Michael_Jackson_album%29; 92
Cat; 92
Berlin; 92
Winner_%28band%29; 91
Trooper_%28band%29; 91
Tradition; 91
Surfing; 91
Rare; 91
Power_%28physics%29; 91
Joe_McKnight; 91
Fiscal_year; 91
Cuteness; 91
Blaze_%28film%29; 91
Affect_%28psychology%29; 91
Upcoming; 90
Shopping; 90
Pets.com; 90
Pedestrian; 90
Middle_school; 90
Library; 90
Employee_benefit; 90
Ban_%28title%29; 90
19_%28number%29; 90
Renovation; 89
Refugee; 89
Project; 89
Mand_%28psychology%29; 89
Highlights_for_Children; 89
Flood; 89
Asheville%2C_North_Carolina; 89
Yesterday_%28Beatles_song%29; 88
Tragedy; 88
Plenty_%28film%29; 88
Ohio_State_University; 88
Kidnapping; 88
Elementary_school; 88
Colombia; 88
Cash; 88
Buffalo%2C_New_York; 88
36; 88
Shootout; 87
School_district; 87
Kansas; 87
HTTP_cookie; 87
Drink; 87
Cars_%28film%29; 87
Bus; 87
Brigham_Young_University; 87
University_of_Southern_California; 86
University_of_North_Dakota; 86
St._Louis; 86
Parking; 86
In_Custody_%28novel%29; 86
Grocery_store; 86
Funeral; 86
Evidence_%28law%29; 86
Commuting; 86
City; 86
Audit; 86
Appeal; 86
99_%28number%29; 86
Yes_%28band%29; 85
Warehouse; 85
Roof; 85
Love; 85
Dream; 85
District_attorney; 85
Cuba; 85
Computer_file; 85
Clearwire; 85
United_States_Navy; 84
Saved%21; 84
San_Francisco; 84
SPOT_%28satellite%29; 84
Patent_claim; 84
Old_age; 84
Moment_%28physics%29; 84
MASSIVE_%28software%29; 84
Ivanka_Trump; 84
Cuts; 84
Chihuahua_%28dog%29; 84
Boeing; 84
Atlanta; 84
80_%28number%29; 84
500_%28card_game%29; 84
Survivors_%282008_TV_series%29; 83
Supreme_Court_of_the_United_States; 83
Southern_California; 83
Rockford%2C_Illinois; 83
Madison%2C_Wisconsin; 83
Lighting; 83
Hit_and_run; 83
Group_%28mathematics%29; 83
Gorgeous_%28film%29; 83
Coffeehouse; 83
Charity_%28practice%29; 83
Abraham_Lincoln; 83
Trade; 82
Tiger; 82
Risk; 82
Problem_solving; 82
Limit_%28mathematics%29; 82
Human_settlement; 82
Deer; 82
Aviation_accidents_and_incidents; 82
Arctic; 82
Aaron_Rodgers; 82
Violence; 81
U.S._state; 81
San_Francisco_49ers; 81
Kickoff_%28gridiron_football%29; 81
Ghost_ship; 81
Fee; 81
Committee; 81
Civic_Conservative_Party; 81
Vermont; 80
Ring_%28mathematics%29; 80
Ride_%28band%29; 80
Rex_Tillerson; 80
Person; 80
Muncie%2C_Indiana; 80
Health_care; 80
Gather.com; 80
Evening; 80
Checkers_and_Rally%27s; 80
Chase_%28bank%29; 80
Challenge_X; 80
Accused_%28TV_series%29; 80
Training; 79
Sex_position; 79
Sentence_%28linguistics%29; 79
Rout; 79
Rick_Perry; 79
Inter-American_Development_Bank; 79
High_school_football; 79
Emotion; 79
26_%28number%29; 79
The_Nutcracker; 78
State_police; 78
Saturday_Night_Live; 78
Recruitment; 78
Race_and_ethnicity_in_the_United_States_Census; 78
Prediction; 78
Mississippi; 78
Milwaukee; 78
James_Mattis; 78
IU_%28singer%29; 78
Esau; 78
Brockton%2C_Massachusetts; 78
Bathroom; 78
Abuse; 78
75th_United_States_Congress; 78
24_%28TV_series%29; 78
Number; 77
Medical_cannabis; 77
Maybe_%28The_Chantels_song%29; 77
Maryland; 77
Id%2C_ego_and_super-ego; 77
Great_Smoky_Mountains; 77
Foot; 77
Course_%28navigation%29; 77
Attention; 77
21_%282008_film%29; 77
Wish; 76
Una_%28Sava%29; 76
Titan_%28mythology%29; 76
Security; 76
Pickup_truck; 76
Oklahoma; 76
Offense_%28sports%29; 76
Norton_LiveUpdate; 76
Heisman_Trophy; 76
Google; 76
Disability; 76
Crisis; 76
Camera; 76
Attention_deficit_hyperactivity_disorder; 76
Analysis; 76
18_%28number%29; 76
World_War_II; 75
SEAT; 75
Christmas_traditions; 75
Arizona_Wildcats_football; 75
31; 75
The_Trip_%282010_TV_series%29; 74
Surveying; 74
Surgery; 74
Recovery_%28Eminem_album%29; 74
Notebook; 74
New_Orleans_Police_Department; 74
New_England_Patriots; 74
Kanye_West; 74
Folks%21; 74
European_Union; 74
Dinner; 74
Cultural_icon; 74
Cougar; 74
Alexander_Hamilton; 74
69; 74
33_%28number%29; 74
United_States_Army; 73
Unemployment; 73
Tribute; 73
Tribe; 73
Sentence_%28law%29; 73
San_Francisco_Giants; 73
Research; 73
Queen%27s_Counsel; 73
Promise; 73
Pearl_Harbor_Survivors_Association; 73
Light; 73
Gaels; 73
Creativity; 73
Craig_Sager; 73
Coaching; 73
Climate_change; 73
Clemson_University; 73
Book; 73
Addiction; 73
A%26M_Records; 73
Welcome_%282007_film%29; 72
Wedding_anniversary; 72
Unmanned_aerial_vehicle; 72
Ugly_%28film%29; 72
Palm_Beach%2C_Florida; 72
Investment; 72
Information; 72
Highway; 72
Gams; 72
Entertainment; 72
Build.com; 72
Answers.com; 72
Anno_Domini; 72
Agency_%28philosophy%29; 72
Acquittal; 72
Word; 71
Veto; 71
Upgrade; 71
Stock; 71
Stanford_University; 71
Price; 71
Plant; 71
Patrol; 71
Overtime_%28ice_hockey%29; 71
Museum; 71
Meal; 71
Interview; 71
Family; 71
ExxonMobil; 71
Esprit_Requien; 71
Elementary_%28TV_series%29; 71
Delivery.com; 71
Confidence_trick; 71
Actually; 71
96; 71
Xzibit; 70
