Entity; Entity_Count
Donald_Trump; 9042
Twitter; 2564
The_Police; 2028
Today_%28U.S._TV_program%29; 1610
Thanksgiving; 1420
Protest; 1345
Bill_Clinton; 1322
Woman; 1235
Voting; 1226
Election; 1214
Video; 1176
Windows_Internet_Name_Service; 1167
PIC_microcontroller; 1071
Help%21_%28album%29; 1056
Republican_Party_%28United_States%29; 927
Hat; 882
Barack_Obama; 869
Hillary_Clinton; 836
2016; 805
Update_%28SQL%29; 804
Holiday; 774
United_States; 742
Veteran; 736
Race_%28human_categorization%29; 735
Democratic_Party_%28United_States%29; 664
Saturday; 660
Association_football; 655
Professional_employer_organization; 645
President_of_the_United_States; 645
Suspect_%281987_film%29; 640
Set_%28deity%29; 640
Facebook; 613
Tuesday; 609
Shooting; 594
Friday_%281995_film%29; 580
Check-in; 573
Victory; 571
Pipeline_transport; 564
Lead; 564
Fidel_Castro; 564
Student; 560
Chicago_Cubs; 554
Election_Day_%28United_States%29; 544
Lead_generation; 539
Crash_%282004_film%29; 533
Florida; 526
Volleyball; 512
12-hour_clock; 510
Live_%28band%29; 494
This_Week_%28ABC_TV_series%29; 484
Editorial; 480
-elect; 475
Home_%282015_animated_film%29; 473
Veterans_Day; 472
Minnesota; 467
Opinion_poll; 465
Family_%28biology%29; 451
California; 449
Green_Bay_Packers; 446
Restaurant; 443
Rallying; 441
Monday; 441
Teen_film; 439
Game; 437
Community_%28TV_series%29; 421
Alabama; 421
Iowa; 420
Wisconsin; 407
Ohio; 404
START_I; 403
Sunday; 401
Wednesday; 399
Case_%28singer%29; 396
Candidate; 396
Associated_Press; 394
Fan_%28person%29; 390
Business; 390
Officer_%28armed_forces%29; 387
Leadership; 382
Black_Friday_%28shopping%29; 381
Basketball; 380
Downtown; 378
New_Jersey; 375
Employment; 369
Supporter; 367
Wildfire; 365
Lawsuit; 364
Missing_%28film%29; 362
White_House; 361
Thursday; 360
Arrest; 358
Join_%28SQL%29; 357
Thanksgiving_dinner; 355
Federal_Bureau_of_Investigation; 355
Man; 349
Electoral_College_%28United_States%29; 342
Opinion; 341
Million; 338
Annual_plant; 335
Louisiana_State_University; 331
Honour; 329
Heparin-induced_thrombocytopenia; 327
Ohio_State_University; 326
Title; 324
Political_campaign; 324
Texas; 318
Run_%28baseball%29; 316
Christmas; 315
Gift; 314
Salary; 313
Sikh; 309
Change.org; 308
Joba_Chamberlain; 306
City_council; 306
The_Faces; 305
Meeting; 305
Workweek_and_weekend; 304
Por%2C_Armenia; 303
Month; 303
Girl; 303
2017; 299
Sergeant; 298
Offers; 298
10_%28film%29; 293
Question; 292
Percentage; 292
Mason_City%2C_Iowa; 288
Cannabis_%28drug%29; 288
Supermoon; 286
Debate; 284
Time_%28magazine%29; 283
Bing; 281
Celebrate%21; 278
Car; 277
Outside_%28magazine%29; 276
Ballot; 276
Donation; 274
United_States_presidential_election; 273
Politics; 273
Email; 273
Try; 272
Photograph; 270
Immigration; 269
Badger; 269
Kids_%28film%29; 268
Hundred_%28county_division%29; 267
Family_%28US_Census%29; 267
Gun; 266
Recount_%28film%29; 264
Reading_%28process%29; 264
Early_voting; 262
Christmas_and_holiday_season; 262
Homelessness; 260
Racism; 258
Key_%28lock%29; 253
Coach_%28sport%29; 253
The_Weather_Channel; 252
Work_%28physics%29; 251
Hospital; 251
Parade; 250
Gaels; 250
Allegation; 250
Accident; 249
Washington_%28state%29; 248
Precinct; 248
Beat_%28music%29; 246
Utah; 245
Volunteering; 244
United_States_Senate; 244
Gallery_%28magazine%29; 241
Death; 241
House_%28TV_series%29; 240
Ll; 239
Finally_%28CeCe_Peniston_song%29; 239
Trial; 238
Stabbing; 238
Murder; 236
Pennsylvania; 235
Tennessee; 234
Need; 234
National_Football_League; 234
North_Dakota; 232
Prison; 231
Patient_Protection_and_Affordable_Care_Act; 230
Quarterback; 229
Pre-exposure_prophylaxis; 229
Kentucky; 229
Race_and_ethnicity_in_the_United_States_Census; 228
Looking; 228
Gratuity; 227
Goes; 227
Tax; 225
Contraction_%28grammar%29; 225
Travel; 221
Halloween; 221
Counties_of_Iran; 221
Campus; 221
Issues_%28band%29; 220
High_school_football; 220
Column; 220
Traffic_%28band%29; 219
News_%28band%29; 219
New_York; 219
20_%28number%29; 218
Miami; 215
Fear; 214
Voter_turnout; 212
Playoffs; 212
Mom_%28TV_series%29; 212
Hearing; 212
Diyarbak%C4%B1r; 212
Star; 211
Running; 211
Experience; 210
Arizona; 210
Winter; 209
United_States_presidential_election%2C_2016; 209
Look_%28American_magazine%29; 209
They; 208
Hit_%28baseball%29; 208
Sentenced; 205
Polling_place; 205
Crowd; 205
Parent; 204
Par%C3%A1; 204
Dog; 204
This_Morning_%28TV_programme%29; 203
Lost_%28TV_series%29; 203
Health; 203
