NDCG, ranking_relatedness23.csv, ranking_relative_relatedness23.csv, ranking_relativeness23.csv, ranking_time_relatedness23.csv, ranking_time_relative_relatedness23.csv, ranking_time_relativeness23.csv, ranking_timeliness23.csv
@5, 0.5941096898649005, 0.14057810358916567, 0.11656431399989824, 0.3478003668941017, 0.16266408510064523, 0.14913236399222216, 0.22075398441335914
@10, 0.6161486987650184, 0.17676109641555354, 0.15844895113501176, 0.2828953173676837, 0.1405813991517391, 0.1280660739630002, 0.2519502661029626
@20, 0.7637339982354221, 0.3220735599008049, 0.30213909744170264, 0.34496181841583895, 0.3234278210238244, 0.3113971001501602, 0.27587854750865337
end, 0.8320658154802447, 0.6169752556870393, 0.6033679978015735, 0.6630780148343094, 0.6068986961164052, 0.5947393345294033, 0.6329211509917616

