NDCG, ranking_relatedness19.csv, ranking_relative_relatedness19.csv, ranking_relativeness19.csv, ranking_time_relatedness19.csv, ranking_time_relative_relatedness19.csv, ranking_time_relativeness19.csv, ranking_timeliness19.csv
@5, 0.44685352999185635, 0.11257530629232702, 0.0626007213611599, 0.517695054754832, 0.16622128080907927, 0.07267718684434632, 0.4986376060138986
@10, 0.4827119901040285, 0.2582340154196113, 0.06322616511131075, 0.5719906248686797, 0.28714410049716566, 0.1195250569708479, 0.5380014676036565
@20, 0.7283979950308278, 0.4207826437037767, 0.15082474259485235, 0.6838220530995793, 0.46761183616716473, 0.25774975517875004, 0.5992706535971764
end, 0.7907899775193485, 0.6625719985289095, 0.5802051915615576, 0.8293274315084938, 0.6875721903745236, 0.6111861458427639, 0.7842194632744945

